CourseID,CourseName,Credit,Year,Semester
CSE1101,ObjectOrientedProgramming1,3,1,1
CSE1103,ObjectOrientedProgramming2,3,1,2
CSE1112,IntroductionToComputerEngineering,2,1,1
CSE2101,LogicCircuits,3,1,2
CSE2112,DataStructures,4,2,1
CSE4205,ComprehensiveDesignOfComputerEngineering,3,4,0
CSE1105,CreativeDesignInComputerEngineering,3,1,2
CSE2104,InternetProgramming,3,2,1
CSE2105,LinearAlgebraBasedOnComputers,3,2,2
CSE2107,JavaBasedApplicationProgramming,3,2,1
CSE2113,IntroductionToOpenSourceSoftware,3,2,2
CSE3203,ComputerArchitecture,3,3,1
CSE3206,OperatingSystem,3,3,1
CSE3209,SystemProgramming,3,2,2
CSE3212,ComputerNetworks,3,3,0
CSE3308,SystemsAnalysis,3,3,1
CSE3309,ProblemSolvingMethods,4,3,2
CSE3313,LinuxProgramming,3,3,2
CSE3315,BioBigData,3,3,2
CSE4201,SoftwareEngineering,3,4,2
CSE4202,ComputerNetworks,3,4,0
CSE4204,Algorithm,3,3,1
CSE4308,ComputerSecurity,3,4,1
CSE4315,MachineLearning,3,4,1
CSE3207,Database,3,3,1
CSE4302,ArtificialIntelligence,3,4,0
CSE4305,IntroductionToBiomedicalInformatics,3,4,1
CSE4314,DataMining,3,4,1
CSE3302,MicroprocessorApplications,3,4,1
CSE3304,EmbeddedSoftware,3,3,2
CSE3307,WirelessCommunicationAndNetworking,3,3,1
CSE4312,Compiler,3,4,1
CSE3204,ComputerGraphics,3,3,2
CSE4301,ElectronicCommerce,3,4,2
CSE4303,GameProgramming,3,4,1
CSE4307,MultimediaComputing,3,4,1
